game_name,original_price,new_price,platform,price_start_date
Trials Rising,19.95,3.43,Green Man Gaming,2022-10-03T09:09:31+00:00
RESIDENT EVIL 7 Gold Edition,33.4,6.64,Gamesplanet UK,2022-10-03T08:10:10+00:00
Dead Rising 2 - Off the Record,16.62,3.88,Gamesplanet UK,2022-10-03T08:10:10+00:00
Stronghold: Warlords,39.99,8.89,GamersGate,2022-10-02T23:03:03+00:00
Might & Magic: Heroes VII,28.81,6.64,Gamesplanet UK,2022-10-02T22:09:30+00:00
DuckTales: Remastered,14.99,3.22,Green Man Gaming,2022-09-29T22:07:25+00:00
The Crew 2 Special Edition,59.99,10.8,Ubisoft Store,2022-09-29T15:05:45+00:00
Home Behind,5.99,1.49,Steam,2022-09-28T17:45:35+00:00
Atelier Lulua: The Scion of Arland,55.42,31.03,Gamesplanet UK,2022-02-08T13:06:02+00:00
Puyo Puyo Champions,9.99,1.98,Gamebillet,2022-10-07T08:03:25+00:00
Alien : Isolation,39.99,7.98,Gamebillet,2022-10-07T08:03:25+00:00
Space Hulk: Deathwing - Enhanced Edition,29.99,6.89,Fanatical,2022-10-06T23:02:50+00:00
Hell Let Loose,39.99,23.99,Fanatical,2022-10-06T15:05:03+00:00
Age of Darkness: Final Stand,21.99,14.73,Fanatical,2022-10-04T15:03:30+00:00
ULTIMATE MARVEL VS. CAPCOM 3,24.99,7.5,Dreamgame,2022-10-04T01:14:22+00:00
Phoenix Wright: Ace Attorney Trilogy,29.99,15.0,Dreamgame,2022-10-04T01:14:22+00:00
Factory Town,19.99,9.99,Steam,2022-10-03T17:56:43+00:00
Tiny Tina's Wonderlands,59.99,40.19,Green Man Gaming,2022-10-01T09:06:13+00:00
Klonoa Phantasy Reverie Series,39.99,32.79,Green Man Gaming,2022-09-30T15:31:09+00:00
Diablo + Hellfire,9.99,7.99,Gog.com,2022-09-29T14:08:22+00:00
No Place Like Home,19.99,13.99,Steam,2022-09-27T17:47:48+00:00
DARIUSBURST Chronicle Saviours,49.99,14.99,Steam,2022-09-27T15:32:01+00:00
Gotham Knights,50.02,49.02,Voidu,2022-09-23T20:00:37+00:00
Chorus,39.99,18.79,Fanatical,2022-09-11T23:03:47+00:00
Saints Row The Third Remastered,14.0,13.72,Voidu,2022-09-07T13:03:18+00:00
Dome Keeper,15.51,13.96,Gamesplanet UK,2022-10-08T10:05:58+00:00
Far Cry 6 Gold Edition,99.99,30.0,Voidu,2022-10-07T20:00:26+00:00
Prince of Persia: The Sands of Time,9.99,1.77,GamersGate,2022-10-07T17:02:31+00:00
Ruinarch,24.99,17.49,Steam,2022-10-06T17:49:28+00:00
Mafia II: Definitive Edition,29.99,9.89,Steam,2022-10-06T17:34:52+00:00
V Rising,19.99,17.99,Humble Store,2022-10-04T18:19:13+00:00
Zeus + Poseidon,9.99,4.99,Steam,2022-10-03T18:02:45+00:00
Irony Curtain: From Matryoshka with Love,19.99,1.99,Steam,2022-10-03T17:56:43+00:00
Mega Man X Legacy Collection,17.73,5.31,Gamesplanet UK,2022-10-03T08:10:10+00:00
RESIDENT EVIL 6,22.16,4.25,Gamesplanet UK,2022-10-03T08:10:10+00:00
Mad Max [Online Game Code],19.99,3.99,Newegg,2022-10-02T22:04:52+00:00
Assassin's Creed Syndicate,29.99,7.49,Steam,2022-09-29T17:35:55+00:00
Home Behind 2,19.99,13.99,Steam,2022-09-28T17:35:43+00:00
The Great Ace Attorney Chronicles,39.99,17.95,Gamebillet,2022-09-21T10:03:32+00:00
Like a Dragon: Ishin!,59.99,52.75,Gamebillet,2022-09-14T16:04:15+00:00
Metro: Last Light Redux,19.99,4.39,Fanatical,2022-09-11T23:03:47+00:00
BLACKTAIL,29.99,23.99,Steam,2022-08-24T00:01:27+00:00
Source of Madness,19.99,13.99,Humble Store,2022-10-07T18:11:38+00:00
Tricky Towers,14.99,5.99,Humble Store,2022-10-07T18:11:38+00:00
OlliOlli World - PC [Online Game Code],29.99,17.99,Newegg,2022-10-07T18:08:45+00:00
Dandy Ace,19.99,5.0,Green Man Gaming,2022-10-07T09:09:01+00:00
Super Monkey Ball: Banana Blitz HD,29.99,8.38,Gamebillet,2022-10-07T08:03:25+00:00
Fallout 3 - Game Of The Year,19.99,4.77,Voidu,2022-10-05T17:02:27+00:00
Call of Duty: Black Ops Cold War,59.99,29.99,Battle.net,2022-10-04T17:11:20+00:00
Umurangi Generation,14.99,10.49,Steam,2022-10-03T17:44:14+00:00
TrackMania Turbo,39.99,17.2,Green Man Gaming,2022-10-03T09:09:31+00:00
King of Seas,22.16,7.97,Gamesplanet UK,2022-10-03T08:10:10+00:00
Inscryption,19.99,16.19,Gamebillet,2022-10-01T11:01:54+00:00
Watch Dogs Legion Standard Edition,39.99,11.88,Ubisoft Store,2022-09-29T15:05:45+00:00
Tom Clancy's Rainbow Six Vegas 2,9.99,2.25,Ubisoft Store,2022-09-29T15:05:45+00:00
TrackMania² Stadium,9.99,4.49,Ubisoft Store,2022-09-29T15:05:45+00:00
Banner of the Maid,16.99,8.49,Steam,2022-09-28T02:31:22+00:00
Saints Row IV,14.99,3.44,Fanatical,2022-09-11T23:03:47+00:00
Sonic Frontiers,59.99,52.75,Gamebillet,2022-08-25T08:03:59+00:00
Ymir,29.21,26.29,Gamesplanet DE,2021-09-30T19:25:13+00:00
Devil May Cry 4,17.73,14.18,Gamesplanet UK,2021-09-30T19:24:08+00:00
Turbo Golf Racing,17.99,13.49,Humble Store,2022-10-07T18:11:38+00:00
It Takes Two,39.99,19.99,Origin,2022-10-04T17:22:49+00:00
"Honey, I Joined a Cult",19.99,13.39,Fanatical,2022-10-04T15:03:30+00:00
Marauders,27.71,24.93,Gamesplanet UK,2022-10-03T18:24:40+00:00
